id,text,label,text_id_su,text_su_id,text_id_ja,text_ja_id,text_id_en,text_en_id,text_MS_id_en,text_MS_en_id,verdict_id,verdict_su,verdict_ja,verdict_en,verdict_MS_en
0,Maling yang sebenarnya sudah di pastikan bernama lulung,negative,Maling nu sabenerna geus dipastikeun ngaranna Lulung,Pencuri sebenarnya telah diidentifikasi sebagai Lulung,Maling asline wis dipastikan jenenge Lulung,Pencuri sebenarnya telah dipastikan adalah Lulung,The real thief has been confirmed to be named Lulung,Pencuri sebenarnya dipastikan bernama Lulung,The real thief has been confirmed to be named lulung,Pencuri yang sebenarnya telah dipastikan bernama lulung,,1,1,1,1
4,"Penasaran dengan ulasan orang, spesial cari waktu ke warung sale. Awalnya semangat. Menembus macet. Demilah. Tapi kecewa dengan jalannya. Selain jauh, kondisi jalan yang buruk membuat semangat mulai luntur. Phisik bangunan unik, ada musik lift. Kapasitas ruangan terbatas kayaknya. Menu cukup unik dan kreatif. Tapi belum cukup berharga mengobati kecewanya perjalanan.",negative,"Panasaran kana ulasan jalma, kuring mendakan waktos khusus pikeun angkat ka lapak. Mimitina mah bungah. Ngaliwatan macét. Demi kahadéan. Tapi kuciwa ku jalan. Salian ti jauh, kaayaan jalan anu goréng ngajadikeun sumanget kuring mimiti luntur. Penampilan fisik wangunan unik, aya musik lift. Kapasitas kamar sigana terbatas. menu nu cukup unik tur kreatif. Tapi éta henteu cukup berharga pikeun ngubaran kuciwa perjalanan.","Penasaran dengan review orang-orang, saya pun mencari waktu khusus untuk pergi ke warung tersebut. Awalnya saya senang. Melewati kemacetan. Demi Tuhan. Namun kecewa juga. Selain jaraknya yang jauh, kondisi jalan yang buruk membuat semangat saya mulai pudar. Tampilan fisik bangunannya unik, ada musik lift. Kapasitas ruangannya sepertinya terbatas. Menunya cukup unik dan kreatif. Namun itu saja belum cukup untuk mengobati kekecewaan perjalanan.","Penasaran karo review wong, aku khusus golek wektu kanggo dodolan. Wiwitane aku bungah. Liwat macet. Kanggo kabecikan. Nanging kuciwa karo cara. Kejaba adoh, kahanan dalan sing ora apik ndadekake semangatku wiwit luntur. Penampilan fisik bangunan kasebut unik, ana musik lift. Kapasitas kamar katon winates. Menu kasebut cukup unik lan kreatif. Nanging ora cukup regane kanggo ngobati kuciwane lelungan kasebut.","Penasaran dengan ulasan orang-orang, saya khusus mencari waktu untuk berjualan. Awalnya saya bersemangat. Melewati kemacetan. Demi Tuhan. Namun kecewa dengan metodenya. Selain jaraknya yang jauh, kondisi jalan yang buruk membuat antusiasme saya mulai memudar. Tampilan fisik gedungnya unik, ada musik lift. Kapasitas ruangannya tampak terbatas. Menunya cukup unik dan kreatif. Namun itu tidak cukup untuk menebus kekecewaan perjalanan.","Curious about people's reviews, I specially found time to go to the sale stall. At first I was excited. Through traffic jams. For goodness sake. But disappointed with the way. In addition to being far, the poor road conditions made my enthusiasm start to fade. The building's physical appearance is unique, there is elevator music. The room capacity seems limited. The menu is quite unique and creative. But it's not valuable enough to cure the disappointment of the trip.","Penasaran dengan review orang-orang, saya pun menyempatkan diri untuk mendatangi lapak jualan tersebut. Awalnya saya bersemangat. Melewati kemacetan. Demi Tuhan. Namun kecewa dengan jalannya. Selain jauh, kondisi jalan yang buruk membuat semangat saya mulai pudar. Penampakan fisik gedungnya unik, ada musik lift. Kapasitas ruangannya tampak terbatas. Menu yang disajikan cukup unik dan kreatif. Namun itu semua tidak cukup berharga untuk mengobati kekecewaan perjalanan.","Curious about people's reviews, especially looking for time to go to the sale stall. At first it was exciting. Penetrating the jam. Demilah. But disappointed with the way. In addition to being far away, poor road conditions make the spirit begin to fade. The physical building is unique, there is elevator music. The room capacity is limited. The menu is quite unique and creative. But it is not worth enough to treat the disappointment of the trip.","Penasaran dengan ulasan orang-orang, terutama mencari waktu untuk pergi ke warung penjualan. Awalnya itu mengasyikkan. Menembus kemacetan. Demilah. Tapi kecewa dengan caranya. Selain jauh, kondisi jalan yang buruk membuat semangat mulai memudar. Bangunan fisiknya unik, ada musik lift. Kapasitas kamar terbatas. Menunya cukup unik dan kreatif. Tapi itu tidak cukup berharga untuk mengobati kekecewaan perjalanan.",,1,1,1,1
6,"Saya dan isteri tergoda untuk mengunjungi restoran ini saat kami sekeluarga berkunjung ke pontianak minggu lalu, karena berdasarkan penilaian trip advisor abang kepiting merupakan restoran terpopuler di pontianak. Malam sekitar jam 7 saya dan isteri sudah sampai dan mendapati suasana restoran yang tidak terlalu ramai terisi sekitar 4 meja saja, karena kami hanya berdua ingin berbincang.",neutral,"Abdi sareng pamajikan kagoda nganjang ka ieu rumah makan nalika sakulawargi nganjang ka Pontianak minggu kamari, sabab dumasar kana penilaian Trip Advisor, Abang Kepiting mangrupikeun réstoran pang populerna di Pontianak. Peutingna, kira-kira jam 7, kuring jeung pamajikan nepi ka warungna teu pati rame, ngan ukur aya 4 meja, sabab ngan aya urang duaan nu rek ngobrol.","Saya dan istri tergoda untuk mengunjungi rumah makan ini saat keluarga saya berkunjung ke Pontianak minggu lalu, karena menurut penilaian Trip Advisor, Abang Kepiting merupakan rumah makan paling populer di Pontianak. Malam harinya, sekitar pukul 7 malam, saya dan istri tiba di rumah makan tersebut, yang ternyata tidak terlalu ramai, hanya ada 4 meja, karena memang hanya kami berdua yang ingin berbincang-bincang.","Aku lan bojoku kepengen dolan nang restoran iki pas keluargaku dolan nang Pontianak minggu wingi, merga saka penilaian Trip Advisor, Abang Kepiting dadi restoran sing paling populer ing Pontianak. Ing wayah bengi, kira-kira jam 7, aku lan bojoku teka lan nemokake restorane ora rame banget, mung ana 4 meja, amarga mung wong loro sing arep ngobrol.","Saya dan istri ingin mengunjungi restoran ini ketika keluarga saya berkunjung ke Pontianak minggu lalu, karena menurut Trip Advisor, Abang Kepiting adalah restoran paling populer di Pontianak. Malam harinya, sekitar pukul 7, saya dan istri tiba dan mendapati restoran itu tidak terlalu ramai, hanya ada 4 meja, karena yang ingin mengobrol hanya dua orang.","My wife and I were tempted to visit this restaurant when our family visited Pontianak last week, because based on Trip Advisor's assessment, Abang Kepiting is the most popular restaurant in Pontianak. At night, around 7 o'clock, my wife and I arrived and found the restaurant was not too crowded, only about 4 tables were occupied, because there were only the two of us who wanted to chat.","Saya dan istri tergoda untuk mengunjungi rumah makan ini saat keluarga kami berkunjung ke Pontianak minggu lalu, karena berdasarkan penilaian Trip Advisor, Abang Kepiting merupakan rumah makan paling populer di Pontianak. Malam harinya, sekitar pukul 7 malam, saya dan istri tiba dan mendapati rumah makan tersebut tidak terlalu ramai, hanya sekitar 4 meja yang terisi, karena memang hanya kami berdua yang ingin mengobrol.","My wife and I were tempted to visit this restaurant when we visited Pontianak last week, because based on trip advisor assessment Abang Kecrabing is the most popular restaurant in Pontianak. In the evening around 7 o'clock my wife and I arrived and found that the atmosphere of the restaurant was not too crowded with only about 4 tables, because we only wanted to talk.","Saya dan istri tergoda untuk mengunjungi restoran ini ketika kami mengunjungi Pontianak minggu lalu, karena berdasarkan penilaian trip advisor Abang Kecrabing adalah restoran paling populer di Pontianak. Malam sekitar jam 7 saya dan istri tiba dan menemukan bahwa suasana restoran tidak terlalu ramai dengan hanya sekitar 4 meja, karena kami hanya ingin berbicara.",,2,2,2,1
7,Porsinya banyak kepiting kisaran 100 ribu / porsi. Udang bakarnya enak. Enak bumbunya penuh rempah. Harga dan rasanya bersaing dengan perahu seafood jalan sumatera.,positive,Porsina loba keuyeup kira-kira 100 rebu/porsi. Udang bakar nikmat. Bumbuna ngeunah tur pinuh ku bungbu. Harga sareng rasana saingan sareng parahu seafood di Jalan Sumatra.,"Porsinya banyak kepitingnya, sekitar 100 ribu/porsi. Udang bakarnya enak. Bumbunya enak dan penuh rempah. Harga dan rasanya bisa menyaingi kapal-kapal hasil laut di Jalan Sumatra.",Porsi kepiting akeh sekitar 100 ewu/porsi. Udang bakarnya enak. Bumbune enak lan kebak bumbu. Rega lan rasane saingan karo prau seafood ing Jalan Sumatra.,Kepitingnya porsi besar sekitar 100 ribu/porsi. Udang bakarnya enak. Bumbunya enak dan penuh rempah. Harga dan rasanya bersaing dengan perahu-perahu hasil laut di Jalan Sumatra.,The portion is a lot of crabs around 100 thousand / portion. The grilled shrimp is delicious. The seasoning is delicious and full of spices. The price and taste are competitive with seafood boats on Jalan Sumatra.,Porsinya banyak kepitingnya sekitar 100 ribu/porsi. Udang bakarnya enak. Bumbunya enak dan penuh rempah. Harga dan rasanya bersaing dengan kapal-kapal seafood di Jalan Sumatra.,"The portion is a lot of crabs in the range of 100 thousand / serving. The grilled shrimp is delicious. The spices are delicious, full of spices. The price and taste compete with the Sumatra road seafood boat.","Porsinya banyak kepiting di kisaran 100 ribu/porsi. Udang bakarnya enak. Rempah-rempahnya enak, penuh rempah-rempah. Harga dan rasanya bersaing dengan perahu seafood jalan raya Sumatera.",,2,2,2,2
11,"Dari segi letak / lokasi cukup mudah dicari. Bangunan dan isi bagian di dalamnya menarik, apalagi ada taman kecil di dalamnya yang diisi juga dengan gentong yang airnya dibiatkan mengalir terus. Membuat suasananya jadi tambah romantis dan menyenangkan. Menu yang disajikan lumayan variatif dan dari segi rasa lumayan enak.",positive,"Dina watesan lokasi, éta cukup gampang pikeun manggihan. Wangunan jeung eusina matak pikabitaeun, utamana mah di jerona aya kebon leutik nu dieusi ku kendi nu caina beunang ngocor terus. Nyieun atmosfir malah leuwih romantis tur nikmat. Menu anu disajikeun lumayan variatif sareng tina segi rasa lumayan nikmat.","Dari segi lokasi, cukup mudah ditemukan. Bangunan beserta isinya sangat memukau, apalagi di dalamnya terdapat taman kecil yang diisi dengan kendi yang airnya dibiarkan mengalir terus menerus. Membuat suasana semakin romantis dan nikmat. Menu yang ditawarkan cukup bervariasi dan dari segi rasa pun cukup nikmat.","Ing babagan lokasi, cukup gampang ditemokake. Bangunan lan isine menarik, apamaneh ana taman cilik ing njerone uga diisi kendhi sing banyune bisa mili terus. Nggawe atmosfer luwih romantis lan nyenengake. Menu sing disuguhake cukup maneka warna lan saka segi rasa cukup enak.","Dari segi lokasi, tempat ini cukup mudah ditemukan. Bangunan dan isinya menarik, belum lagi terdapat taman kecil di dalamnya dan juga diisi dengan kendi yang airnya dapat mengalir terus menerus. Membuat suasana semakin romantis dan menyenangkan. Menu yang disajikan cukup beragam dan dari segi rasa cukup lezat.","In terms of location, it is quite easy to find. The building and its contents are interesting, especially since there is a small garden inside which is also filled with a jug whose water is allowed to flow continuously. Making the atmosphere even more romantic and enjoyable. The menu served is quite varied and in terms of taste it is quite delicious.","Dari segi lokasi, cukup mudah ditemukan. Bangunan beserta isinya menarik, apalagi di dalamnya terdapat taman kecil yang juga diisi dengan kendi yang airnya dibiarkan mengalir terus-menerus. Membuat suasana semakin romantis dan menyenangkan. Menu yang disajikan cukup bervariasi dan dari segi rasa pun cukup lezat.","In terms of location/location it is quite easy to find. The building and its contents are interesting, especially since there is a small garden in it which is also filled with barrels whose water is boiled and flows continuously. Making the atmosphere more romantic and fun. The menu served is quite varied and in terms of taste is quite good.","Dari segi lokasi/lokasi cukup mudah ditemukan. Bangunan dan isinya menarik, terutama karena ada taman kecil di dalamnya yang juga diisi dengan tong yang airnya direbus dan mengalir terus menerus. Membuat suasana lebih romantis dan menyenangkan. Menu yang disajikan cukup bervariasi dan dari segi rasa cukup enak.",,1,1,1,1
13,"Waktu itu ke sini pesan nasi goreng dan kentang goreng, nasi gorengnya semua suka. Kentang gorengnya enak banget, dan presentasinya bagus. Keluarga bilang kopinya enak. Hal yang sangat baik di sini adalah tempatnya luas dan yang di luar bisa lihat pemandangan dusun bambu, tapi pelayanannya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya. Harganya cukup mahal, namun karena makanannya enak semua jadi terbayarkan. Tidak perlu pikir dua kali jika mau ke tempat ini lagi.",positive,"Nalika kuring sumping ka dieu, kuring mesen sangu goreng sareng kentang goreng, sadayana resep kana sangu goreng. The French fries éta bener nikmat, sarta presentasi éta alus. Kulawarga kuring nyarios kopi éta nikmat. Hal anu saé di dieu nyaéta tempatna lega sareng anjeun tiasa ningali pandangan Dusun Bambu, tapi jasana henteu gancang janten kuring kedah naroskeun sababaraha kali ngeunaan pesenan kuring. Hargana lumayan mahal, tapi kumargi tuangeunana enak, éta sadayana mayar. Teu kudu mikir dua kali lamun hayang datang deui ka ieu tempat.","Kalau ke sini, saya pesan nasi goreng dan kentang goreng, semua orang suka nasi goreng. Kentang gorengnya enak banget, penyajiannya juga bagus. Kata keluarga, kopinya juga enak. Kelebihannya, tempatnya luas dan bisa lihat pemandangan Dusun Bambu, tapi pelayanannya kurang cepat jadi saya harus tanya beberapa kali soal pesanan saya. Harganya memang lumayan mahal, tapi karena makanannya enak, semua terbayar. Nggak perlu pikir panjang kalau mau balik lagi ke sini.","Tekan kene aku pesen sego goreng lan french fries, kabeh seneng karo sego goreng. French fries padha tenan éca, lan presentation apik. Kulawargane jarene kopi iku enak. Sing apik tenan ing kene yaiku papan sing wiyar lan bisa ndeleng pemandangan Dusun Bambu, nanging layanane ora cepet dadi aku kudu takon kaping pirang-pirang babagan pesenanku. Regane cukup larang, nanging amarga panganane enak, kabeh entuk bathi. Ora usah mikir kaping pindho yen sampeyan pengin teka ing papan iki maneh.","Sesampainya di sana, saya memesan nasi goreng dan kentang goreng, semua orang suka dengan nasi gorengnya. Kentang gorengnya benar-benar lezat, dan penyajiannya juga bagus. Keluarganya bilang kopinya enak. Yang paling menakjubkan di sini adalah tempatnya luas dan bisa melihat pemandangan Dusun Bambu, tetapi pelayanannya kurang cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya. Harganya memang cukup mahal, tetapi karena makanannya lezat, semuanya sepadan. Jangan pikir panjang lagi kalau mau datang ke tempat ini lagi.","When I came here, I ordered fried rice and French fries, everyone liked the fried rice. The French fries were really delicious, and the presentation was good. My family said the coffee was delicious. The really good thing here is that the place is spacious and you can see the view of Dusun Bambu, but the service is not fast so I had to ask several times about my order. The price is quite expensive, but because the food is delicious, it all pays off. No need to think twice if you want to come to this place again.","Waktu ke sini, saya pesan nasi goreng dan kentang goreng, semua suka nasi gorengnya. Kentang gorengnya enak banget, penyajiannya juga bagus. Kata keluarga, kopinya juga enak. Yang paling bagus di sini tempatnya luas dan bisa lihat pemandangan Dusun Bambu, tapi pelayanannya kurang cepat jadi saya harus tanya beberapa kali soal pesanan saya. Harganya memang lumayan mahal, tapi karena makanannya enak, semua terbayar. Nggak perlu pikir panjang kalau mau ke sini lagi.","At that time, I ordered fried rice and fries, everyone liked the fried rice. The fries are very good, and the presentation is good. The family said the coffee was good. The very good thing here is that the place is spacious and the outside can see the view of the bamboo hamlet, but the service is not fast so I had to ask several times about my order. The price is quite expensive, but because the food is delicious, everything pays off. No need to think twice if you want to go to this place again.","Saat itu, saya memesan nasi goreng dan kentang goreng, semua orang menyukai nasi goreng. Kentang gorengnya sangat enak, dan presentasinya bagus. Keluarga mengatakan kopinya enak. Hal yang sangat baik di sini adalah tempatnya luas dan bagian luar dapat melihat pemandangan dusun bambu, namun pelayanannya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya. Harganya cukup mahal, tetapi karena makanannya enak, semuanya terbayar. Tidak perlu berpikir dua kali jika ingin pergi ke tempat ini lagi.",,2,2,2,2
14,"Kami makan malam di restoran itu dan pelayanannya cukup memuaskan. Tempatnya luas, ada yang berada di dalam ruangan, ada yang diteras. Makanan langsung dipilih dari meja saji di dalam restoran. Ada pilihan menu segar yang baru digoreng pada saat dipesan dan sebagian besar menu tradisional. Waktu tunggu tidak lama. Penyajian unik karena tidak menggunakan piring melainkan memakai daun.",positive,"Urang tadi dinner di réstoran jeung layanan ieu rada satisfying. Tempatna lega, aya di jero ruangan, aya di teras. Dahareun dipilih langsung tina méja porsi di jero réstoran. Aya pilihan ménu seger anu énggal digoréng nalika dipesen sareng seueur ménu tradisional. Waktu nungguan teu lila. Penyajianna unik sabab henteu nganggo piring tapi nganggo daun.","Kami makan malam di restoran dan pelayanannya cukup memuaskan. Tempatnya luas, ada di dalam ruangan, ada di teras. Makanan dipilih langsung dari meja saji di dalam restoran. Tersedia pilihan menu segar yang langsung digoreng saat dipesan dan banyak menu tradisional. Waktu tunggunya tidak lama. Penyajiannya unik karena tidak menggunakan piring melainkan daun.","Kita nedha bengi ing restoran lan layanan cukup marem. Panggonane jembar, ana ing njero ruangan, ana ing teras. Panganan kasebut langsung dipilih saka meja sajian ing njero restoran. Ana pilihan menu seger sing enggal digoreng nalika dipesen lan akeh menu tradisional. Wektu nunggu ora suwe. Presentasi kasebut unik amarga ora nggunakake piring nanging nggunakake godhong.","Kami makan malam di restoran dan pelayanannya cukup memuaskan. Tempatnya luas, ada di dalam ruangan, ada di teras. Makanan dipilih langsung dari meja saji di dalam restoran. Tersedia pilihan menu segar yang digoreng segar sesuai pesanan dan banyak menu tradisional. Waktu tunggunya pun tidak lama. Penyajiannya unik karena tidak menggunakan piring melainkan daun.","We had dinner at the restaurant and the service was quite satisfying. The place is spacious, some are indoors, some are on the terrace. The food is directly selected from the serving table inside the restaurant. There is a choice of fresh menus that are freshly fried when ordered and most of the menus are traditional. The waiting time is not long. The presentation is unique because it does not use plates but uses leaves.","Kami makan malam di restoran tersebut dan pelayanannya cukup memuaskan. Tempatnya luas, ada yang di dalam ruangan, ada juga yang di teras. Makanannya dipilih langsung dari meja saji yang ada di dalam restoran. Tersedia pilihan menu segar yang langsung digoreng saat dipesan dan sebagian besar menunya tradisional. Waktu tunggunya pun tidak lama. Penyajiannya pun unik karena tidak menggunakan piring melainkan menggunakan daun.","We had dinner at the restaurant and the service was quite satisfactory. The place is spacious, some are indoors, some are pressed. The food is directly selected from the serving table inside the restaurant. There is a selection of fresh, freshly fried menus at the time of order and most of the traditional menus. The waiting time is not long. The presentation is unique because it does not use a plate but uses leaves.","Kami makan malam di restoran dan layanannya cukup memuaskan. Tempatnya luas, ada yang di dalam ruangan, ada yang tertekan. Makanan langsung dipilih dari meja penyajian di dalam restoran. Ada pilihan menu segar yang baru digoreng pada saat pemesanan dan sebagian besar menu tradisional. Waktu tunggunya tidak lama. Penyajiannya unik karena tidak menggunakan piring melainkan menggunakan daun.",,2,2,2,2
17,"Untuk makanan beragam hanya saja minyak terlalu banyak, gurame goreng tidak enak karena tidak digoreng garing. Juice yang ditawarkan terlalu banyak air dan kurang segar",negative,"Pikeun rupa-rupa kadaharan, ngan loba teuing minyak, goreng gurami teu ngeunah sabab teu digoréng nepi ka garing. Jus anu ditawarkeun teuing caian sareng henteu seger","Untuk berbagai jenis makanan, minyaknya terlalu banyak, gurami gorengnya kurang enak karena tidak digoreng sampai kering. Jus yang diberikan terlalu encer dan tidak segar","Kanggo macem-macem panganan, mung lenga sing akeh banget, gurami goreng ora enak amarga ora digoreng nganti garing. Jus sing ditawakake banget banyu lan ora seger","Untuk makanan yang berbeda, hanya saja minyaknya terlalu banyak, ikan gurami gorengnya kurang enak karena tidak digoreng sampai kering. Air perasan yang diberikan terlalu encer dan kurang segar","For various foods, it's just that there is too much oil, fried gourami is not tasty because it is not fried until crispy. The juice offered is too watery and not fresh","Untuk berbagai makanan, hanya saja minyaknya terlalu banyak, ikan gurami gorengnya kurang enak karena tidak digoreng sampai garing. Air perasan yang diberikan terlalu encer dan kurang segar.","For a variety of foods, it's just that there is too much oil, fried carp is not good because it is not fried crisp. Juice offered too much water and not too fresh","Untuk berbagai makanan, hanya saja minyaknya terlalu banyak, ikan mas goreng tidak enak karena tidak digoreng renyah. Jus menawarkan terlalu banyak air dan tidak terlalu segar",,2,2,2,1
18,Ayah saya merupakan seorang pegawai net tv,neutral,Bapa abdi karyawan net tv,Ayah saya adalah seorang karyawan tv jaringan,Bapakku karyawan net tv,Ayah saya adalah seorang karyawan tv jaringan,My father is a net tv employee,Ayah saya adalah seorang karyawan tv jaringan,My father is a net tv employee,Ayah saya adalah karyawan tv internet,,1,1,1,1
19,Pagi pagi ingin marah dengan sinyal telkomsel.,negative,Isuk-isuk rek ambek sinyal Telkomsel.,"Pagi ini, saya ingin mendapatkan sinyal Telkomsel.",Isuk-isuk aku arep ambek sinyal Telkomsel.,Di pagi hari saya ingin mendapatkan sinyal Telkomsel.,In the morning I want to be angry with the Telkomsel signal.,Pagi-pagi saya mau marah-marah sama sinyal Telkomsel.,"In the morning, I was angry with the telkomsel signal.","Di pagi hari, saya marah dengan sinyal telkomsel.",2,1,1,1,1
